camera_id,name,url_image,road,km,location_info,latitude,longitude
131,Irun-Muga FHD ,https://www.trafikoa.eus/static/files/tr/camaras/852.jpg,A-8,0.000,,43.33959,-1.75347
1,DOMO 93 - El gallo - Erlexes,,A8,105+050,Donostia,4786603.0,515012.75
2,DOMO 94,,A8,106+700,Donostia,4786318.38,513422.99
3,DOMO 95 - PMV Banderola,,A8,108+850,Santander,4786961.68,511665.27
4,DOMO 96 - El Gallo,http://www.bizkaimove.com/camaras/cam86.jpg,A8,105+700,Donostia,4786318.15,514398.58
5,DOMO 97 - AP-8 Galdakao,http://www.bizkaimove.com/camaras/cam85.jpg,A8,107+300,Santander,4786932.54,512693.52
6,DOMO - AP-8 Hirubide,http://www.bizkaimove.com/camaras/cam84.jpg,A8,109+100,Santander,4786768.81,510948.04
7,DOMO - AP-8 Basauri,,A8,110+300,Santander,4786544.7,510156.04
8,CCTV 100 (domo),,A8,114+200,Santander,4787276.6,506381.5
9,CCTV 101 - Enlace A-8,,A8,102+200,Donostia,4786539.73,517698.74
10,CCTV 102 - Sal. Malmasín (Dir. Basauri),http://www.bizkaimove.com/camaras/cam40.jpg,A8,110+300,Santander,4786548.48,510086.04
11,CCTV 103 - Basauri,http://www.bizkaimove.com/camaras/cam4.jpg,A8,110+500,Donostia,4786483.36,509832.21
12,CCTV 104 - Malmasin (La Peña),http://www.bizkaimove.com/camaras/cam20.jpg,A8,114+700,Santander,4787427.2,506020.22
13,CCTV 105 - Bilbao Oeste (Miraflores),http://www.bizkaimove.com/camaras/cam60.jpg,A8,115+300,Donostia,4787840.89,505654.36
14,CCTV 106 - Juan de Garay,http://www.bizkaimove.com/camaras/cam14.jpg,A8,116+000,Santander,4788381.78,505184.04
15,CCTV 107 - Rekalde,http://www.bizkaimove.com/camaras/cam18.jpg,A8,116+700,Donostia,4788534.49,504578.74
16,CCTV 108 - Sabino Arana a Donosti,http://www.bizkaimove.com/camaras/cam17.jpg,A8,117+300,Donostia,4788956.78,504164.24
17,CCTV 110 - Sabino Arana a Santander,http://www.bizkaimove.com/camaras/cam15.jpg,A8,117+700,Santander,4789287.8,503919.39
18,CCTV 112 - Balmaseda,http://www.bizkaimove.com/camaras/cam16.jpg,A8,119+500,Donostia,4790561.04,502833.15
19,CCTV 113 - Curvas Zorroza,http://www.bizkaimove.com/camaras/cam12.jpg,A8,120+400,Donostia,4791276.58,502290.88
20,CCTV 114 - Cruces-Zorroza,http://www.bizkaimove.com/camaras/cam10.jpg,A8,121+400,Santander,4791715.8,501537.92
21,CCTV 115 - Pasarela de Cruces,http://www.bizkaimove.com/camaras/cam11.jpg,A8,122+000,Donostia,4792046.0,501155.13
22,DOMO en Nudo de Cruces,http://www.bizkaimove.com/camaras/cam8.jpg,A8,122+400,Santander,4792464.99,501038.72
23,CCTV 117 - Nudo Cruces,,A8,122+400,Santander,4792485.98,501051.13
24,CCTV 118 - Max Center,http://www.bizkaimove.com/camaras/cam6.jpg,A8,124+000,Donostia,4793145.49,499251.81
